Genotype,hypocotyl_length,Temp,Geno_temp
wt,3.906842458,22,wt_22
wt,3.609557201,22,wt_22
wt,3.588813205,22,wt_22
wt,3.916092239,22,wt_22
wt,3.920275045,22,wt_22
wt,4.083778536,22,wt_22
wt,3.73680971,22,wt_22
wt,3.883649991,22,wt_22
wt,4.020084268,22,wt_22
wt,3.509475925,22,wt_22
wt,3.884262109,22,wt_22
wt,3.690458782,22,wt_22
wt,3.410006767,22,wt_22
wt,3.708856326,22,wt_22
wt,3.683215387,22,wt_22
wt,3.323086026,22,wt_22
wt,3.648358674,22,wt_22
wt,3.656112167,22,wt_22
wt,3.481760587,22,wt_22
wt,3.719026074,22,wt_22
wt,6.780361898,28,wt_28
wt,7.098867242,28,wt_28
wt,7.022420518,28,wt_28
wt,8.049554344,28,wt_28
wt,8.098795828,28,wt_28
wt,8.234311928,28,wt_28
wt,7.85602307,28,wt_28
wt,8.49459806,28,wt_28
wt,7.723703585,28,wt_28
wt,8.153036275,28,wt_28
wt,6.922713315,28,wt_28
wt,7.657764886,28,wt_28
wt,7.99459976,28,wt_28
wt,6.958488205,28,wt_28
wt,8.517552481,28,wt_28
wt,7.584004679,28,wt_28
wt,7.953247796,28,wt_28
wt,8.179153305,28,wt_28
wt,8.375541129,28,wt_28
wt,7.771302016,28,wt_28
ein2,3.329411245,22,ein2_22
ein2,3.091501423,22,ein2_22
ein2,3.528689626,22,ein2_22
ein2,3.667470355,22,ein2_22
ein2,3.603231982,22,ein2_22
ein2,3.745413367,22,ein2_22
ein2,3.245721126,22,ein2_22
ein2,3.61843291,22,ein2_22
ein2,3.522330401,22,ein2_22
ein2,3.254596835,22,ein2_22
ein2,3.731266642,22,ein2_22
ein2,3.334036135,22,ein2_22
ein2,3.762416641,22,ein2_22
ein2,3.564396503,22,ein2_22
ein2,4.007399825,22,ein2_22
ein2,3.403001418,22,ein2_22
ein2,3.847058944,22,ein2_22
ein2,3.689948684,22,ein2_22
ein2,3.48686157,22,ein2_22
ein2,3.549115033,22,ein2_22
ein2,5.671034241,28,ein2_28
ein2,5.543645706,28,ein2_28
ein2,6.019023264,28,ein2_28
ein2,5.9039451,28,ein2_28
ein2,6.397569212,28,ein2_28
ein2,6.25264656,28,ein2_28
ein2,5.942100449,28,ein2_28
ein2,6.140256613,28,ein2_28
ein2,5.971244062,28,ein2_28
ein2,6.041334961,28,ein2_28
ein2,6.962024886,28,ein2_28
ein2,6.729590119,28,ein2_28
ein2,6.378727883,28,ein2_28
ein2,6.896120193,28,ein2_28
ein2,6.888944811,28,ein2_28
ein2,5.800871248,28,ein2_28
ein2,6.169740292,28,ein2_28
ein2,5.67922982,28,ein2_28
ein2,5.949649903,28,ein2_28
ein2,6.175668385,28,ein2_28
ein3,3.445645631,22,ein3_22
ein3,3.726471718,22,ein3_22
ein3,3.551678053,22,ein3_22
ein3,4.052001455,22,ein3_22
ein3,3.757451685,22,ein3_22
ein3,3.80441473,22,ein3_22
ein3,3.814242623,22,ein3_22
ein3,3.507741591,22,ein3_22
ein3,3.714977505,22,ein3_22
ein3,3.703483291,22,ein3_22
ein3,3.755819371,22,ein3_22
ein3,3.059025168,22,ein3_22
ein3,3.738135965,22,ein3_22
ein3,3.285882861,22,ein3_22
ein3,3.082149622,22,ein3_22
ein3,3.505497159,22,ein3_22
ein3,2.914314037,22,ein3_22
ein3,3.754935201,22,ein3_22
ein3,3.772754633,22,ein3_22
ein3,3.576138016,22,ein3_22
ein3,6.35347768,28,ein3_28
ein3,6.513206444,28,ein3_28
ein3,5.822870085,28,ein3_28
ein3,6.0586715,28,ein3_28
ein3,6.763256603,28,ein3_28
ein3,6.381397057,28,ein3_28
ein3,5.802061477,28,ein3_28
ein3,6.167121788,28,ein3_28
ein3,6.137024291,28,ein3_28
ein3,6.30202577,28,ein3_28
ein3,5.866469882,28,ein3_28
ein3,6.498311575,28,ein3_28
ein3,5.844218717,28,ein3_28
ein3,6.267159875,28,ein3_28
ein3,5.832701378,28,ein3_28
ein3,5.691098105,28,ein3_28
ein3,6.558333135,28,ein3_28
ein3,6.540279738,28,ein3_28
ein3,6.41173668,28,ein3_28
ein3,6.200601146,28,ein3_28
lhp1,2.604561639,22,lhp1_22
lhp1,2.406371467,22,lhp1_22
lhp1,2.392542137,22,lhp1_22
lhp1,2.610728159,22,lhp1_22
lhp1,2.613516697,22,lhp1_22
lhp1,2.722519024,22,lhp1_22
lhp1,2.491206473,22,lhp1_22
lhp1,2.589099994,22,lhp1_22
lhp1,2.680056179,22,lhp1_22
lhp1,2.339650617,22,lhp1_22
lhp1,2.589508073,22,lhp1_22
lhp1,2.460305855,22,lhp1_22
lhp1,2.273337845,22,lhp1_22
lhp1,2.472570884,22,lhp1_22
lhp1,2.455476925,22,lhp1_22
lhp1,2.215390684,22,lhp1_22
lhp1,2.432239116,22,lhp1_22
lhp1,2.437408111,22,lhp1_22
lhp1,2.321173725,22,lhp1_22
lhp1,2.479350716,22,lhp1_22
lhp1,4.948667113,28,lhp1_28
lhp1,4.572105788,28,lhp1_28
lhp1,4.54583006,28,lhp1_28
lhp1,4.960383503,28,lhp1_28
lhp1,4.965681724,28,lhp1_28
lhp1,5.172786146,28,lhp1_28
lhp1,4.733292299,28,lhp1_28
lhp1,4.919289989,28,lhp1_28
lhp1,5.092106739,28,lhp1_28
lhp1,4.445336172,28,lhp1_28
lhp1,4.920065338,28,lhp1_28
lhp1,4.674581124,28,lhp1_28
lhp1,4.319341905,28,lhp1_28
lhp1,4.69788468,28,lhp1_28
lhp1,4.665406157,28,lhp1_28
lhp1,4.2092423,28,lhp1_28
lhp1,4.62125432,28,lhp1_28
lhp1,4.631075412,28,lhp1_28
lhp1,4.410230077,28,lhp1_28
lhp1,4.71076636,28,lhp1_28
ein2lhp1,2.304561639,22,ein2lhp1_22
ein2lhp1,3.206371467,22,ein2lhp1_22
ein2lhp1,2.392542137,22,ein2lhp1_22
ein2lhp1,2.610728159,22,ein2lhp1_22
ein2lhp1,2.613516697,22,ein2lhp1_22
ein2lhp1,2.722519024,22,ein2lhp1_22
ein2lhp1,2.522830453,22,ein2lhp1_22
ein2lhp1,2.589099994,22,ein2lhp1_22
ein2lhp1,2.680056179,22,ein2lhp1_22
ein2lhp1,3.094856212,22,ein2lhp1_22
ein2lhp1,2.462820385,22,ein2lhp1_22
ein2lhp1,2.503937459,22,ein2lhp1_22
ein2lhp1,2.273337845,22,ein2lhp1_22
ein2lhp1,2.472570884,22,ein2lhp1_22
ein2lhp1,2.455476925,22,ein2lhp1_22
ein2lhp1,3.039465102,22,ein2lhp1_22
ein2lhp1,2.230946413,22,ein2lhp1_22
ein2lhp1,2.426373049,22,ein2lhp1_22
ein2lhp1,2.503983519,22,ein2lhp1_22
ein2lhp1,2.584525976,22,ein2lhp1_22
ein2lhp1,2.650245884,28,ein2lhp1_28
ein2lhp1,3.687327187,28,ein2lhp1_28
ein2lhp1,2.751423457,28,ein2lhp1_28
ein2lhp1,3.002337383,28,ein2lhp1_28
ein2lhp1,3.005544201,28,ein2lhp1_28
ein2lhp1,3.020309378,28,ein2lhp1_28
ein2lhp1,2.901255021,28,ein2lhp1_28
ein2lhp1,2.977464993,28,ein2lhp1_28
ein2lhp1,3.082064605,28,ein2lhp1_28
ein2lhp1,2.559084644,28,ein2lhp1_28
ein2lhp1,2.832243442,28,ein2lhp1_28
ein2lhp1,2.879528078,28,ein2lhp1_28
ein2lhp1,2.614338521,28,ein2lhp1_28
ein2lhp1,2.843456517,28,ein2lhp1_28
ein2lhp1,2.823798463,28,ein2lhp1_28
ein2lhp1,3.495384867,28,ein2lhp1_28
ein2lhp1,2.565588375,28,ein2lhp1_28
ein2lhp1,2.790329006,28,ein2lhp1_28
ein2lhp1,2.879581047,28,ein2lhp1_28
ein2lhp1,2.913752899,28,ein2lhp1_28
ein3eil1lhp1,2.258470406,22,ein3eil1lhp1_22
ein3eil1lhp1,3.142244038,22,ein3eil1lhp1_22
ein3eil1lhp1,2.344691294,22,ein3eil1lhp1_22
ein3eil1lhp1,2.558513596,22,ein3eil1lhp1_22
ein3eil1lhp1,2.561246363,22,ein3eil1lhp1_22
ein3eil1lhp1,2.668068644,22,ein3eil1lhp1_22
ein3eil1lhp1,2.472373844,22,ein3eil1lhp1_22
ein3eil1lhp1,2.537317994,22,ein3eil1lhp1_22
ein3eil1lhp1,2.626455055,22,ein3eil1lhp1_22
ein3eil1lhp1,3.032959088,22,ein3eil1lhp1_22
ein3eil1lhp1,2.413563977,22,ein3eil1lhp1_22
ein3eil1lhp1,2.45385871,22,ein3eil1lhp1_22
ein3eil1lhp1,2.227871088,22,ein3eil1lhp1_22
ein3eil1lhp1,2.423119466,22,ein3eil1lhp1_22
ein3eil1lhp1,2.406367386,22,ein3eil1lhp1_22
ein3eil1lhp1,2.9786758,22,ein3eil1lhp1_22
ein3eil1lhp1,2.186327485,22,ein3eil1lhp1_22
ein3eil1lhp1,2.377845588,22,ein3eil1lhp1_22
ein3eil1lhp1,2.453903849,22,ein3eil1lhp1_22
ein3eil1lhp1,2.532835456,22,ein3eil1lhp1_22
ein3eil1lhp1,2.479800506,28,ein3eil1lhp1_28
ein3eil1lhp1,3.450183954,28,ein3eil1lhp1_28
ein3eil1lhp1,2.574471041,28,ein3eil1lhp1_28
ein3eil1lhp1,2.809247929,28,ein3eil1lhp1_28
ein3eil1lhp1,2.812248506,28,ein3eil1lhp1_28
ein3eil1lhp1,2.929539371,28,ein3eil1lhp1_28
ein3eil1lhp1,2.714666481,28,ein3eil1lhp1_28
ein3eil1lhp1,2.785975158,28,ein3eil1lhp1_28
ein3eil1lhp1,2.88384765,28,ein3eil1lhp1_28
ein3eil1lhp1,3.330189078,28,ein3eil1lhp1_28
ein3eil1lhp1,2.650093247,28,ein3eil1lhp1_28
ein3eil1lhp1,2.694336864,28,ein3eil1lhp1_28
ein3eil1lhp1,2.446202454,28,ein3eil1lhp1_28
ein3eil1lhp1,2.660585174,28,ein3eil1lhp1_28
